xcol,ycol,Abbreviation,State,X,Y
1,1,HI,Hawaii,0.866025508,1.5
17,1,FL,Florida,14.72243364,1.5
8,2,TX,Texas,6.928204064,3
16,2,GA,Georgia,13.85640813,3
7,3,NM,New Mexico,6.062178556,4.5
9,3,OK,Oklahoma,7.794229572,4.5
11,3,LA,Louisiana,9.526280588,4.5
13,3,MS,Mississippi,11.2583316,4.5
15,3,AL,Alabama,12.99038262,4.5
17,3,SC,South Carolina,14.72243364,4.5
4,4,CA,California,3.464102032,6
6,4,AZ,Arizona,5.196153048,6
8,4,UT,Utah,6.928204064,6
10,4,KS,Kansas,8.66025508,6
12,4,AR,Arkansas,10.3923061,6
14,4,TN,Tennessee,12.12435711,6
16,4,VA,Virginia,13.85640813,6
18,4,NC,North Carolina,15.58845914,6
19,5,DC,District of Columbia,16.45448465,7.5
3,5,OR,Oregon,2.598076524,7.5
5,5,NV,Nevada,4.33012754,7.5
7,5,CO,Colorado,6.062178556,7.5
9,5,NE,Nebraska,7.794229572,7.5
11,5,MO,Missouri,9.526280588,7.5
13,5,KY,Kentucky,11.2583316,7.5
15,5,WV,West Virginia,12.99038262,7.5
17,5,MD,Maryland,14.72243364,7.5
21,5,DE,Delaware,18.18653567,7.5
4,6,ID,Idaho,3.464102032,9
6,6,WY,Wyoming,5.196153048,9
8,6,SD,South Dakota,6.928204064,9
10,6,IA,Iowa,8.66025508,9
12,6,IL,Illinois,10.3923061,9
14,6,IN,Indiana,12.12435711,9
16,6,OH,Ohio,13.85640813,9
18,6,PA,Pennsylvania,15.58845914,9
20,6,NJ,New Jersey,17.32051016,9
22,6,CT,Connecticut,19.05256118,9
3,7,WA,Washington,2.598076524,10.5
5,7,MT,Montana,4.33012754,10.5
7,7,ND,North Dakota,6.062178556,10.5
9,7,MN,Minnesota,7.794229572,10.5
11,7,WI,Wisconsin,9.526280588,10.5
15,7,MI,Michigan,12.99038262,10.5
19,7,NY,New York,16.45448465,10.5
21,7,MA,Massachusetts,18.18653567,10.5
23,7,RI,Rhode Island,19.91858668,10.5
20,8,VT,Vermont,17.32051016,12
22,8,NH,New Hampshire,19.05256118,12
1,9,AK,Alaska,0.866025508,13.5
23,9,ME,Maine,19.91858668,13.5